rank,symbol_a,symbol_b,pair,timeframe,coint_statistic,coint_pvalue,adf_statistic,adf_pvalue,half_life_days,sharpe_ratio,profit_factor,win_rate,total_trades,max_drawdown,avg_holding_minutes,hedge_ratio,spread_mean,spread_std,avg_dollar_volume_a,avg_dollar_volume_b,window_start,window_end,sample_bars
50,ANIP,UAA,ANIP/UAA,1 day,-4.01486722,0.006838,-4.01099455,0.001354,9.828122229166667,3.83470761,,1.0,7,0.06999717,14605.714286,-0.68711023,,0.09060023,7815985.19,61721171.81,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
51,ALL,COMP,ALL/COMP,1 day,-4.70562525,0.000551,-4.70289871,8.3e-05,11.249134272222221,3.95116452,,1.0,6,0.03999997,19920.0,0.32448988,,0.06325127,130939106.33,28177911.15,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
52,ALL,COMP,ALL/COMP,1 day,-4.70562525,0.000551,-4.70289871,8.3e-05,11.249134272222221,3.95116452,,1.0,6,0.03999997,19920.0,0.32448988,,0.06325127,130939106.33,28177911.15,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
53,ALHC,ATKR,ALHC/ATKR,1 day,-4.26636204,0.002887,-4.26171298,0.000517,9.90858874513889,3.9461524,,1.0,6,0.1479576,15600.0,-0.97556406,,0.13243132,14546017.81,30378016.61,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
54,AHCO,CRNC,AHCO/CRNC,1 day,-4.55132795,0.001007,-4.54698663,0.000162,9.112094676388889,3.45474213,,1.0,7,0.15566765,23451.428571,-0.12403,,0.10517023,6511956.25,18543268.25,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
55,AIN,PRA,AIN/PRA,1 day,-4.99227737,0.00017,-4.98726187,2.4e-05,8.629874920833334,3.64257708,,1.0,6,0.13888961,16320.0,-0.52137873,,0.07549863,6381926.67,4862527.58,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
56,ABUS,PFSI,ABUS/PFSI,1 day,-4.4999872,0.001225,-4.49568031,0.0002,9.418552048611112,3.47785915,,1.0,7,0.21232997,19131.428571,1.53972593,,0.09552919,2407436.8,13460256.01,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
57,ANDE,CORT,ANDE/CORT,1 day,-4.25289315,0.003029,-4.24805663,0.000546,9.716753421527779,3.88922725,,1.0,6,0.07709752,20880.0,-0.28288312,,0.07206476,3966163.02,28055490.46,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
58,ACT,SO,ACT/SO,1 day,-4.51058848,0.001177,-4.50582625,0.000192,9.910318424305556,3.8085606,,1.0,6,0.01823507,14880.0,0.82011782,,0.03485403,5005232.6,208348181.58,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
59,ADEA,CENN,ADEA/CENN,1 day,-4.4258416,0.001617,-4.26781448,0.000505,10.190918844444443,3.24907643,,1.0,8,0.11888217,18360.0,-0.27223838,,0.09523845,3054351.04,343908.27,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
60,ADEA,IDCC,ADEA/IDCC,1 day,-4.41474027,0.001685,-4.41053179,0.000284,9.658820095833333,3.49210907,,1.0,7,0.09644839,23245.714286,0.3479546,,0.072174,3054351.04,22500687.46,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
61,ABM,ODFL,ABM/ODFL,1 day,-5.24493905,5.7e-05,-5.23968955,7e-06,5.9538880999999995,3.22651874,,1.0,5,0.03380652,12960.0,0.46754181,,0.03978783,10530328.7,143341480.68,2024-05-07T00:00:00+00:00,2025-10-29T00:00:00+00:00,371
62,PG,PRCT,PG/PRCT,1 day,-4.63893108,0.000717,-4.63441856,0.000112,8.715573846527777,3.31062705,,1.0,7,0.04117181,17897.142857,0.1406191,,0.02873096,541513062.54,25485569.34,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
63,AMTB,BXC,AMTB/BXC,1 day,-4.27037865,0.002846,-4.26689729,0.000507,11.912067300694444,3.69308677,,1.0,7,0.05797093,25508.571429,0.4358348,,0.06282557,1620245.22,3361296.48,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
64,ETSY,SHLS,ETSY/SHLS,1 day,-4.80188572,0.000375,-4.79792255,5.5e-05,9.176701658333332,3.65285026,,1.0,6,0.11612129,21840.0,0.2712816,,0.08434874,144617598.85,29705691.13,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
65,AOS,FATE,AOS/FATE,1 day,-3.96647788,0.008012,-3.96314932,0.001616,12.742753239583335,3.75334818,,1.0,8,0.03858052,18180.0,0.13573231,,0.05103134,39785713.92,4926294.18,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
66,AIG,MATW,AIG/MATW,1 day,-4.76191358,0.00044,-4.75746667,6.6e-05,8.465282881944445,3.23579101,,1.0,7,0.06751066,21188.571429,-0.40376085,,0.04782264,170785882.91,2145776.1,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
67,ALL,CPK,ALL/CPK,1 day,-5.05790674,0.000129,-5.71700732,1e-06,9.114396311111111,3.90731597,,1.0,5,0.0665423,21888.0,1.28850961,,0.06194214,130939106.33,5084537.12,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
68,AMZN,BAC,AMZN/BAC,1 day,-4.43449305,0.001566,-5.20939107,8e-06,8.030629179166667,3.49385137,,1.0,6,0.09006543,19200.0,0.89448343,,0.04717101,4901890274.19,1134118733.11,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
69,AMZN,BAC,AMZN/BAC,1 day,-4.43449305,0.001566,-5.20939107,8e-06,8.030629179166667,3.49385137,,1.0,6,0.09006543,19200.0,0.89448343,,0.04717101,4901890274.19,1134118733.11,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
70,NEE,ZETA,NEE/ZETA,1 day,-4.35276613,0.002116,-4.27540146,0.00049,9.986064960416666,3.49046011,,1.0,7,0.04849061,11725.714286,0.28724226,,0.06014979,477467690.46,63742033.02,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
71,UPS,POWI,UPS/POWI,1 day,-4.81356729,0.000357,-4.80775156,5.3e-05,8.562389483333334,3.23195517,,1.0,7,0.02050318,8640.0,0.9777612,,0.06625041,340171086.82,13756775.46,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
72,PYPL,RVLV,PYPL/RVLV,1 day,-4.48859442,0.001279,-4.48456241,0.00021,7.831782577083334,3.13687182,,1.0,7,0.0933358,20365.714286,0.47598386,,0.05725768,553863968.58,14879304.52,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
73,PFE,ORLY,PFE/ORLY,1 day,-3.90692098,0.009703,-3.9032049,0.002011,12.572271979166668,3.93460495,,1.0,8,0.05209032,19980.0,-0.44344062,,0.05389855,801604187.16,139617097.91,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
74,MSCI,PECO,MSCI/PECO,1 day,-4.54890247,0.001017,-4.54418581,0.000163,8.898279695833335,3.58037221,,1.0,6,0.06133012,16320.0,1.00799888,,0.04571769,108203951.86,12420327.0,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
75,ALLO,PRDO,ALLO/PRDO,1 day,-4.08042134,0.005496,-4.07652217,0.001059,11.25657942986111,3.71231327,,1.0,7,0.31578195,25097.142857,-1.58916751,,0.20177369,5699783.6,4946684.57,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
76,ALLO,ATGE,ALLO/ATGE,1 day,-4.58038882,0.000901,-4.5761878,0.000143,9.996827302777778,4.04494824,,1.0,5,0.11770475,18432.0,-1.06061879,,0.17607503,5699783.6,16686168.76,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
77,SYY,PTC,SYY/PTC,1 day,-4.39232613,0.00183,-4.38776032,0.000312,9.412611861805555,3.3797097,,1.0,7,0.03371275,24274.285714,0.43517715,,0.03415908,125918821.19,70244771.47,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
78,ANIP,SABR,ANIP/SABR,1 day,-4.88580507,0.000266,-4.6652396,9.8e-05,7.369206261805555,3.26276433,,1.0,6,0.16675128,11520.0,-0.51254678,,0.08214613,7815985.19,11722576.88,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
79,XOM,KRYS,XOM/KRYS,1 day,-5.07507855,0.00012,-5.01092248,2.1e-05,10.232674042361111,3.37611381,,1.0,7,0.04825183,20571.428571,0.19324071,,0.04119597,1060738751.26,20469551.56,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
80,ADV,UPBD,ADV/UPBD,1 day,-4.92644879,0.000224,-4.92167456,3.2e-05,7.796313202083334,3.34847301,,1.0,6,0.23619834,17760.0,2.56273606,,0.16101327,1323552.85,6589736.32,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
81,AIN,SR,AIN/SR,1 day,-4.08960974,0.005329,-4.085831,0.001022,11.437495230555555,4.09509979,,1.0,6,0.06789545,15120.0,-1.09927219,,0.08912997,6381926.67,11807874.57,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
82,ALLO,ANGO,ALLO/ANGO,1 day,-4.09037883,0.005315,-4.08658634,0.001019,11.45011835,4.09688261,,1.0,6,0.12123392,20160.0,-1.45761151,,0.25540093,5699783.6,3067546.01,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
83,FDX,DNLI,FDX/DNLI,1 day,-4.50843078,0.001186,-4.50404889,0.000193,9.229383520833334,3.60995382,,1.0,6,0.04954577,31440.0,0.33761847,,0.05648059,239273483.48,12802830.97,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
84,MMC,ETSY,MMC/ETSY,1 day,-4.72889353,0.000503,-4.72318373,7.6e-05,9.408373604166666,3.29954066,,1.0,7,0.07052079,12754.285714,-0.33604159,,0.04018249,172493966.91,144617598.85,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
85,ABG,KODK,ABG/KODK,1 day,-4.39353697,0.001822,-4.8395794,4.6e-05,9.612099605555555,3.36903193,,1.0,7,0.07391296,16457.142857,0.27915573,,0.05869826,14732974.56,4557750.95,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
86,ENPH,DOW,ENPH/DOW,1 day,-4.67630146,0.000619,-4.6713215,9.5e-05,8.681994114583333,3.50229602,,1.0,6,0.08385874,13200.0,1.38019867,,0.1127026,244082745.78,180793568.44,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
87,AHT,PTGX,AHT/PTGX,1 day,-4.14322505,0.00444,-4.87047945,4e-05,8.889895186111112,3.67753528,,1.0,6,0.15977824,22080.0,-1.06585587,,0.15204275,411578.98,16916036.88,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
88,DE,CME,DE/CME,1 day,-4.78954194,0.000394,-4.7849843,5.8e-05,8.286691206944445,3.12047301,,1.0,7,0.08594976,16662.857143,0.92774231,,0.04607362,269545454.52,211849135.73,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
89,D,JXN,D/JXN,1 day,-5.52252747,1.6e-05,-5.51767305,2e-06,6.67459259375,3.0437116,,1.0,6,0.05634145,16320.0,0.34464995,,0.03753095,153957620.42,22998733.64,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
90,ABG,IP,ABG/IP,1 day,-4.81758341,0.000351,-5.04675068,1.8e-05,8.44162085625,3.43617782,,1.0,6,0.06419185,18000.0,0.39607133,,0.05399582,14732974.56,128268407.99,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
91,AIN,TENB,AIN/TENB,1 day,-4.91407261,0.000236,-4.90938895,3.3e-05,7.864288079861111,3.33008445,,1.0,6,0.0638617,24480.0,0.91138121,,0.059491,6381926.67,21785429.06,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
92,ACA,MC,ACA/MC,1 day,-4.7943339,0.000386,-4.78975615,5.7e-05,8.23817583263889,3.10052285,,1.0,7,0.04670946,19131.428571,0.59836652,,0.04301009,8127127.75,21092859.51,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
93,ANDE,CMBM,ANDE/CMBM,1 day,-4.74416404,0.000473,-4.73984615,7.1e-05,8.616712279166666,3.15648433,,1.0,7,0.0704359,17485.714286,0.14670638,,0.0678402,3966163.02,1675892.71,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
94,AIN,TTWO,AIN/TTWO,1 day,-4.20339947,0.003605,-4.19945654,0.00066,10.694609465972222,3.52539014,,1.0,7,0.07552328,20160.0,-0.65805342,,0.07845177,6381926.67,143950811.59,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
95,MRNA,CHRD,MRNA/CHRD,1 day,-4.39440691,0.001816,-4.39672362,0.000301,11.0877176125,3.46138328,,1.0,7,0.32796469,18925.714286,2.49114818,,0.17003608,238704183.34,49077077.79,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
96,AHCO,BXMT,AHCO/BXMT,1 day,-4.60078254,0.000832,-4.59635831,0.000131,8.924598577083334,3.1986079,,1.0,7,0.19357266,21805.714286,-0.94182719,,0.11642362,6511956.25,25187824.34,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
97,PG,OKE,PG/OKE,1 day,-4.18636524,0.003825,-4.18229293,0.000706,10.616688390972222,3.51136418,,1.0,7,0.02647586,16662.857143,0.29260622,,0.03079502,541513062.54,143188099.63,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
98,ADEA,L,ADEA/L,1 day,-4.16715096,0.004089,-4.16304452,0.000761,10.611962650694444,3.51811678,,1.0,7,0.05708999,12960.0,1.20430229,,0.07791731,3054351.04,23488738.84,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
99,K,CPRX,K/CPRX,1 day,-4.94988289,0.000203,-4.94552191,2.8e-05,8.102470768055555,3.33188098,,1.0,6,0.04672471,13920.0,0.87245103,,0.0643793,127363131.21,12318814.02,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
100,PM,PD,PM/PD,1 day,-4.46009694,0.001423,-4.27801384,0.000485,8.296093947222221,3.40825569,,1.0,6,0.11413198,22320.0,-1.48139707,,0.1054962,375324200.68,15025157.83,2023-09-26T00:00:00+00:00,2025-10-29T00:00:00+00:00,525
